date,predicted_mean,lower SPI,upper SPI,actual_spi
1/1/2015,1.262707565,0.461185126,2.064230005,1.26
2/1/2015,0.95358173,0.15206194,1.75510152,0.95
3/1/2015,0.875044516,0.073527361,1.676561671,0.88
4/1/2015,0.448879875,-0.352634658,1.250394408,0.45
5/1/2015,0.456999616,-0.344512308,1.258511541,0.46
6/1/2015,1.962134404,1.160625074,2.763643733,1.96
7/1/2015,0.094461418,-0.707045329,0.895968166,0.09
8/1/2015,0.258915596,-0.542588583,1.060419775,0.26
9/1/2015,2.403779016,1.602277393,3.205280639,2.40
10/1/2015,0.579489404,-0.222009676,1.380988484,0.58
11/1/2015,1.052235248,0.250738698,1.853731798,1.05
12/1/2015,1.526874643,0.725380611,2.328368676,1.53
1/1/2016,1.241122341,0.439630814,2.042613869,1.24
2/1/2016,1.064582407,0.263093373,1.866071442,1.06
3/1/2016,0.959250247,0.157763691,1.760736802,0.96
4/1/2016,0.541503195,-0.259980892,1.342987283,0.54
5/1/2016,0.172912289,-0.628569343,0.974393921,0.17
6/1/2016,1.989863033,1.188383844,2.791342222,1.99
7/1/2016,0.389221433,-0.412255324,1.190698191,0.39
8/1/2016,0.126058354,-0.675415984,0.927532692,0.13
9/1/2016,2.049239245,1.247767315,2.850711176,2.05
10/1/2016,0.19247809,-0.608991445,0.993947626,0.19
11/1/2016,1.099997707,0.298530555,1.901464858,1.10
12/1/2016,1.552795726,0.751330946,2.354260505,1.55
1/1/2017,1.266682234,0.465219815,2.068144652,1.27
2/1/2017,1.099132091,0.297672022,1.90059216,1.10
3/1/2017,1.184709628,0.383251897,1.986167359,1.18
4/1/2017,0.594651133,-0.206804272,1.396106537,0.59
5/1/2017,0.495375715,-0.306077374,1.296828804,0.50
6/1/2017,2.033511549,1.232060764,2.834962334,2.03
7/1/2017,0.391317416,-0.410131076,1.192765907,0.39
8/1/2017,0.18500708,-0.616439129,0.986453289,0.19
9/1/2017,2.112930811,1.311486874,2.914374749,2.11
10/1/2017,0.219857245,-0.581584432,1.021298922,0.22
11/1/2017,1.232753181,0.431313754,2.034192608,1.23
12/1/2017,1.542449258,0.74101207,2.343886446,1.54
1/1/2018,1.263102116,0.461667157,2.064537075,1.26
2/1/2018,0.944360359,0.142927618,1.7457931,0.94
3/1/2018,1.279174361,0.477743827,2.080604894,1.28
4/1/2018,0.552702003,-0.248726333,1.354130339,0.55
5/1/2018,0.654019521,-0.147406628,1.455445669,0.65
6/1/2018,2.169982815,1.368558843,2.971406787,2.17
7/1/2018,0.368277923,-0.433143882,1.169699728,0.37
8/1/2018,0.227000558,-0.574419091,1.028420206,0.23
9/1/2018,1.75116516,0.949747658,2.552582662,1.75
10/1/2018,0.535299848,-0.266115517,1.336715213,0.54
11/1/2018,1.187306549,0.385893311,1.988719787,1.19
12/1/2018,1.559323707,0.757912586,2.360734828,1.56
1/1/2019,1.221879999,0.420470986,2.023289013,1.22
2/1/2019,0.870446885,0.069039969,1.6718538,0.87
3/1/2019,1.094501015,0.293096187,1.895905842,1.09
4/1/2019,1.000977449,0.1995747,1.802380198,1.00
5/1/2019,0.432724917,-0.368675763,1.234125597,0.43
6/1/2019,1.659490696,0.858092076,2.460889316,1.66
7/1/2019,0.417516567,-0.383880003,1.218913137,0.42
8/1/2019,0.02214727,-0.779247259,0.823541798,0.02
9/1/2019,1.384596417,0.58320392,2.185988914,1.38
10/1/2019,0.728838471,-0.072552003,1.530228945,0.73
11/1/2019,1.131861103,0.330472643,1.933249563,1.13
12/1/2019,1.614725079,0.813338623,2.416111534,1.25
1/1/2020,1.22082566,0.419441201,2.02221012,1.22
2/1/2020,1.013202092,0.211819619,1.814584565,1.32
3/1/2020,1.502971665,0.70159117,2.30435216,1.50
4/1/2020,0.989422374,0.188043848,1.7908009,0.99
5/1/2020,0.236888382,-0.564488184,1.038264947,0.24
6/1/2020,1.003843713,0.202469099,1.805218327,1.00
7/1/2020,0.226294148,-0.575078522,1.027666819,0.23
8/1/2020,-0.024109876,-0.825480612,0.77726086,-0.02
9/1/2020,1.689925625,0.888556815,2.491294434,1.69
10/1/2020,0.487826074,-0.313540818,1.289192966,0.49
11/1/2020,1.251378389,0.450013406,2.052743372,1.25
12/1/2020,1.58173207,0.780368988,2.383095152,1.58
